,precision,recall,f1-score,support
Hydro,0.9928057553956835,0.9951923076923077,0.9939975990396158,416.0
Solar,0.8947368421052632,0.85,0.8717948717948718,20.0
Wind,1.0,1.0,1.0,18827.0
accuracy,0.9997404350308883,0.9997404350308883,0.9997404350308883,0.9997404350308883
macro avg,0.9625141991669822,0.9483974358974359,0.9552641569448292,19263.0
weighted avg,0.9997353439799983,0.9997404350308883,0.9997372630761759,19263.0
